,age_at_cutoff,has_hypertension,has_afib,has_diabetes,n_conditions_total,n_medications_total
count,5747.0,5747.0,5747.0,5747.0,5747.0,5747.0
mean,35.16043355417885,0.18461806159735514,0.004524099530189664,0.05968331303288672,20.160083521837482,23.24343135548982
std,23.190227658213686,0.38802117341806486,0.06711494497673721,0.2369197800608319,25.681557899461588,82.65773500105928
min,0.0,0.0,0.0,0.0,0.0,0.0
25%,16.38877481177276,0.0,0.0,0.0,7.0,1.0
50%,33.94387405886379,0.0,0.0,0.0,15.0,4.0
75%,52.11909650924025,0.0,0.0,0.0,25.0,12.0
max,107.32648870636551,1.0,1.0,1.0,354.0,1363.0
